"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Dec 04 2009","2455170","281620801","73.58","6.90e-8","1.77e-8","-1.72","-","18.22","1e-8","0","bin70.log"
"Dec 11 2009","2455177","282225601","65.18","4.81e-8","1.45e-8","-1.72","-","15.08","1e-8","0","bin71.log"
"Dec 18 2009","2455184","282830401","64.62","5.63e-8","1.60e-8","-1.72","-","15.23","1e-8","0","bin72.log"
"Dec 25 2009","2455191","283435201","107.25","8.41e-8","2.02e-8","-1.72","-","18.77","1e-8","0","bin73.log"
"Jan 01 2010","2455197","284040001","18.66","2.53e-8","1.25e-8","-1.72","-","24.34","1e-8","0","bin74.log"
"Jan 08 2010","2455204","284644801","1.36","< 3.54e-8","-","-","-","30.88","1e-8","0","bin75.log"
"Jan 15 2010","2455211","285249601","10.58","1.55e-8","9.89e-9","-1.72","-","37.86","1e-8","0","bin76.log"
"Jan 22 2010","2455218","285854401","0","< 1.75e-8","-","-","-","45.04","1e-8","0","bin77.log"
"Jan 29 2010","2455225","286459201","6.76","1.81e-8","1.03e-8","-1.72","-","52.29","1e-8","0","bin78.log"
"Feb 05 2010","2455232","287064001","16.78","1.86e-8","1.00e-8","-1.72","-","59.52","1e-8","0","bin79.log"
"Feb 12 2010","2455239","287668801","4.35","1.36e-8","1.08e-8","-1.72","-","66.69","1e-8","0","bin80.log"
"Feb 19 2010","2455246","288273601","6.92","2.16e-8","1.20e-8","-1.72","-","73.80","1e-8","0","bin81.log"
"Feb 26 2010","2455253","288878401","46.75","4.00e-8","1.28e-8","-1.72","-","80.81","1e-8","0","bin82.log"
"Mar 05 2010","2455262","289483201","7.1","1.79e-8","1.13e-8","-1.72","-","87.76","1e-8","0","bin83.log"
"Mar 12 2010","2455269","290088001","17.62","3.76e-8","1.49e-8","-1.72","-","94.63","1e-8","0","bin84.log"
"Mar 19 2010","2455276","290692801","74.2","4.76e-8","1.41e-8","-1.72","-","101.44","1e-8","0","bin85.log"
"Mar 26 2010","2455283","291297601","83.39","6.48e-8","1.69e-8","-1.72","-","108.21","1e-8","0","bin86.log"
"Apr 02 2010","2455290","291902401","24.59","2.49e-8","1.15e-8","-1.72","-","114.97","1e-8","0","bin87.log"
"Apr 09 2010","2455297","292507201","33.17","4.57e-8","1.63e-8","-1.72","-","121.72","1e-8","0","bin88.log"
"Apr 16 2010","2455304","293112001","14.04","1.87e-8","1.01e-8","-1.72","-","128.50","1e-8","0","bin89.log"
"Apr 23 2010","2455311","293716801","61.72","5.23e-8","1.40e-8","-1.72","-","135.30","1e-8","0","bin90.log"
"Apr 30 2010","2455318","294321601","93.01","8.34e-8","1.90e-8","-1.72","-","142.15","1e-8","0","bin91.log"
"May 07 2010","2455325","294926401","136.26","9.56e-8","1.90e-8","-1.72","-","149.06","1e-8","0","bin92.log"
"May 14 2010","2455332","295531201","112.02","6.82e-8","1.63e-8","-1.72","-","156.00","1e-8","0","bin93.log"
"May 21 2010","2455339","296136001","10.9","2.24e-8","1.14e-8","-1.72","-","162.92","1e-8","0","bin94.log"
"May 28 2010","2455346","296740801","85.68","7.36e-8","1.75e-8","-1.72","-","169.64","1e-8","0","bin95.log"
"Jun 04 2010","2455353","297345601","77.9","5.55e-8","1.60e-8","-1.72","-","174.83","1e-8","0","bin96.log"
"Jun 11 2010","2455360","297950401","43.91","3.61e-8","1.20e-8","-1.72","-","172.79","1e-8","0","bin97.log"
"Jun 18 2010","2455367","298555201","56.92","5.69e-8","1.51e-8","-1.72","-","166.42","1e-8","0","bin98.log"
"Jun 25 2010","2455374","299160001","50.15","3.58e-8","1.31e-8","-1.72","-","159.43","1e-8","0","bin99.log"
"Jul 02 2010","2455381","299764801","26.75","4.51e-8","1.57e-8","-1.72","-","152.33","1e-8","0","bin100.log"
"Jul 09 2010","2455388","300369601","32.61","4.24e-8","1.40e-8","-1.72","-","145.26","1e-8","0","bin101.log"
"Jul 16 2010","2455395","300974401","27.01","3.59e-8","1.37e-8","-1.72","-","138.28","1e-8","0","bin102.log"
"Jul 23 2010","2455402","301579201","2.2","< 3.89e-8","-","-","-","131.42","1e-8","0","bin103.log"
"Jul 30 2010","2455409","302184001","27.93","5.10e-8","1.64e-8","-1.72","-","124.70","1e-8","0","bin104.log"
"Aug 06 2010","2455416","302788801","12.42","2.76e-8","1.33e-8","-1.72","-","118.15","1e-8","0","bin105.log"
"Aug 13 2010","2455423","303393601","12.88","1.70e-8","1.02e-8","-1.72","-","111.76","1e-8","0","bin106.log"
"Aug 20 2010","2455430","303998401","0.61","< 3.17e-8","-","-","-","105.53","1e-8","0","bin107.log"
"Aug 27 2010","2455437","304603201","22.46","2.22e-8","1.11e-8","-1.72","-","99.45","1e-8","0","bin108.log"
"Sep 03 2010","2455443","305208001","23.26","3.99e-8","1.41e-8","-1.72","-","93.51","1e-8","0","bin109.log"
"Sep 10 2010","2455450","305812801","4.5","2.13e-8","1.40e-8","-1.72","-","87.68","1e-8","0","bin110.log"
"Sep 17 2010","2455457","306417601","42.32","3.86e-8","1.37e-8","-1.72","-","81.94","1e-8","0","bin111.log"
"Sep 24 2010","2455464","307022401","12.09","2.40e-8","1.32e-8","-1.72","-","76.26","1e-8","0","bin112.log"
"Oct 01 2010","2455471","307627201","8.67","2.30e-8","1.28e-8","-1.72","-","70.61","1e-8","0","bin113.log"
"Oct 08 2010","2455478","308232001","20.7","2.67e-8","1.24e-8","-1.72","-","64.96","1e-8","0","bin114.log"
"Oct 15 2010","2455485","308836801","41.6","5.30e-8","1.67e-8","-1.72","-","59.28","1e-8","0","bin115.log"
"Oct 22 2010","2455492","309441601","6.09","2.10e-8","1.26e-8","-1.72","-","53.53","1e-8","0","bin116.log"
"Oct 29 2010","2455499","310046401","28.42","2.22e-8","1.02e-8","-1.72","-","47.71","1e-8","0","bin117.log"
"Nov 05 2010","2455506","310651201","31.99","4.26e-8","1.48e-8","-1.72","-","41.81","1e-8","0","bin118.log"
"Nov 12 2010","2455513","311256001","40.39","4.19e-8","1.43e-8","-1.72","-","35.85","1e-8","0","bin119.log"
"Nov 19 2010","2455520","311860801","39.5","3.54e-8","1.27e-8","-1.72","-","29.90","1e-8","0","bin120.log"
"Nov 26 2010","2455527","312465601","65.59","4.61e-8","1.38e-8","-1.72","-","24.14","1e-8","0","bin121.log"
"Dec 03 2010","2455534","313070401","53.18","5.07e-8","1.56e-8","-1.72","-","19.00","1e-8","0","bin122.log"
"Dec 10 2010","2455541","313675201","54.74","3.88e-8","1.34e-8","-1.72","-","15.43","1e-8","0","bin123.log"
"Dec 17 2010","2455548","314280001","26.06","3.04e-8","1.22e-8","-1.72","-","14.93","1e-8","0","bin124.log"
"Dec 24 2010","2455555","314884801","14.07","2.04e-8","1.20e-8","-1.72","-","17.96","1e-8","0","bin125.log"
"Dec 31 2010","2455562","315489601","11.96","2.78e-8","1.52e-8","-1.72","-","23.26","1e-8","0","bin126.log"
